tool,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,mcc
AlphaMissense,283,195,35,18,35,0.813,0.848,0.66,0.915,0.5,0.754,0.46
SIFT,472,332,40,72,28,0.788,0.922,0.357,0.822,0.588,0.64,0.338
FATHMM-MKL,531,345,60,57,69,0.763,0.833,0.513,0.858,0.465,0.673,0.335
REVEL,472,352,23,89,8,0.794,0.978,0.205,0.798,0.742,0.592,0.315
LIST-S2,103,44,23,18,18,0.65,0.71,0.561,0.71,0.561,0.635,0.271
MetaSVM,472,328,34,78,32,0.767,0.911,0.304,0.808,0.515,0.607,0.263
ClinPred,472,323,36,76,37,0.761,0.897,0.321,0.81,0.493,0.609,0.257
MetaLR,472,357,11,101,3,0.78,0.992,0.098,0.779,0.786,0.545,0.225
FATHMM-XF,514,323,42,70,79,0.71,0.803,0.375,0.822,0.347,0.589,0.174
BayesDel noAF,522,392,16,96,18,0.782,0.956,0.143,0.803,0.471,0.549,0.165
