tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present,tool_category
SIFT,Missense,979,978,1,99.9,SIFT_score; SIFT_new,Individual missense predictor
PolyPhen-2,Missense,979,978,1,99.9,PolyPhen_score; PolyPhen_new,Individual missense predictor
PROVEAN,Missense,979,977,2,99.8,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Missense,979,977,2,99.8,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,Missense,979,977,2,99.8,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,Missense,979,977,2,99.8,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
MutationTaster,Missense,979,977,2,99.8,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
PrimateAI,Missense,979,977,2,99.8,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,Missense,979,977,2,99.8,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Missense,979,977,2,99.8,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Missense,979,977,2,99.8,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Missense,979,977,2,99.8,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Missense,979,977,2,99.8,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Missense,979,977,2,99.8,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Missense,979,977,2,99.8,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Missense,979,977,2,99.8,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
popEVE,Missense,979,977,2,99.8,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
MutationAssessor,Missense,979,798,181,81.5,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
DEOGEN2,Missense,979,757,222,77.3,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
LIST-S2,Missense,979,757,222,77.3,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,Missense,979,757,222,77.3,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Missense,979,577,402,58.9,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
