tool,score_column,pathogenic_score_direction,threshold_condition,score_column_exists
PolyPhen-2,PolyPhen_score,higher,score >= threshold,TRUE
PROVEAN,PROVEAN_score_new,lower,score <= threshold,TRUE
MutationTaster,MutationTaster_score_new,higher,score >= threshold,TRUE
MutationAssessor,MutationAssessor_score_new,higher,score >= threshold,TRUE
MutPred2,MutPred2_score_new,higher,score >= threshold,TRUE
DEOGEN2,DEOGEN2_score_new,higher,score >= threshold,TRUE
PrimateAI,PrimateAI_score_new,higher,score >= threshold,TRUE
ClinPred,ClinPred_score_new,higher,score >= threshold,TRUE
MetaSVM,MetaSVM_score_new,higher,score >= threshold,TRUE
MetaLR,MetaLR_score_new,higher,score >= threshold,TRUE
MetaRNN,MetaRNN_score_new,higher,score >= threshold,TRUE
BayesDel addAF,BayesDel_addAF_score_new,higher,score >= threshold,TRUE
BayesDel noAF,BayesDel_noAF_score_new,higher,score >= threshold,TRUE
LIST-S2,LIST_S2_score_new,higher,score >= threshold,TRUE
AlphaMissense,am_pathogenicity_new,higher,score >= threshold,TRUE
ESM1b,ESM1b_score_new,lower,score <= threshold,TRUE
popEVE,popEVE_score_new,lower,score <= threshold,TRUE
CADD,CADD_PHRED_new,higher,score >= threshold,TRUE
DANN,DANN_score_new,higher,score >= threshold,TRUE
Eigen-PC,Eigen_PC_phred_coding_new,higher,score >= threshold,TRUE
REVEL,REVEL_score_new,higher,score >= threshold,TRUE
fathmm-XF,fathmm_XF_coding_score_new,higher,score >= threshold,TRUE
MVP,MVP_score_new,higher,score >= threshold,TRUE
MPC,MPC_score_new,higher,score >= threshold,TRUE
ada_score,ada_score_new,higher,score >= threshold,TRUE
rf_score,rf_score_new,higher,score >= threshold,TRUE
phyloP100way,phyloP100way_vertebrate_new,higher,score >= threshold,TRUE
phastCons100way,phastCons100way_vertebrate_new,higher,score >= threshold,TRUE
