tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present,tool_category
SIFT,Splice-related,71,0,71,0,SIFT_score; SIFT_new,Individual missense predictor
PROVEAN,Splice-related,71,0,71,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new,Individual missense predictor
FATHMM,Splice-related,71,0,71,0,FATHMM_score_seperated,Individual missense predictor
FATHMM-MKL,Splice-related,71,0,71,0,fathmm-MKL_coding_score,Meta/ensemble predictor
FATHMM-XF,Splice-related,71,0,71,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new,Modern/deep learning predictor
PolyPhen-2,Splice-related,71,0,71,0,PolyPhen_score; PolyPhen_new,Individual missense predictor
MutationTaster,Splice-related,71,0,71,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new,Individual missense predictor
MutationAssessor,Splice-related,71,0,71,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new,Individual missense predictor
DEOGEN2,Splice-related,71,0,71,0,DEOGEN2_score_new; DEOGEN2_pred_new,Modern/deep learning predictor
PrimateAI,Splice-related,71,0,71,0,PrimateAI_score_new; PrimateAI_pred_new,Modern/deep learning predictor
MutPred2,Splice-related,71,0,71,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new,Modern/deep learning predictor
MetaRNN,Splice-related,71,0,71,0,MetaRNN_score_new; MetaRNN_pred_new,Modern/deep learning predictor
REVEL,Splice-related,71,0,71,0,REVEL_score; REVEL_score_new; REVEL_new,Meta/ensemble predictor
ClinPred,Splice-related,71,0,71,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new,Meta/ensemble predictor
MetaSVM,Splice-related,71,0,71,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new,Meta/ensemble predictor
MetaLR,Splice-related,71,0,71,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new,Meta/ensemble predictor
BayesDel addAF,Splice-related,71,0,71,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new,Meta/ensemble predictor
BayesDel noAF,Splice-related,71,0,71,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new,Meta/ensemble predictor
LIST-S2,Splice-related,71,0,71,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new,Meta/ensemble predictor
AlphaMissense,Splice-related,71,0,71,0,am_class_new; am_pathogenicity_new,Modern/deep learning predictor
EVE,Splice-related,71,0,71,0,EVE_CLASS_new; EVE_SCORE_new,Modern/deep learning predictor
popEVE,Splice-related,71,0,71,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new,Modern/deep learning predictor
